steam_developer,avg_owners,avg_positive
"NetherRealm Studios QLOC",912060.0000,82.0000
"Netmarble Neo",174960.0000,70.0000
"New World Interactive",3071430.0000,78.0000
"Nicalis Inc Edmund McMillen",10468320.0000,95.0000
"Niklas Tomkowitz",29400.0000,82.0000
"Nine Rocks Games",243000.0000,84.0000
"Ninja Kiwi",10120650.0000,96.0000
"Nippon Ichi Software Inc Systemsoft beta Inc",5280.0000,94.0000
"No Brakes Games",5146380.0000,92.0000
"No Ceiling Games",229710.0000,71.0000
"Noble Muffins",1085520.0000,87.0000
Noisestorm,763980.0000,99.0000
"Nokta Games",2254290.0000,70.0000
"Noodle Cat Games",34170.0000,83.0000
"NoodleForge Gvarados  Diomonder",94140.0000,96.0000
"North Modding Company AB",106350.0000,74.0000
"NPC Studio",728640.0000,97.0000
"Nuggets Entertainment",1843230.0000,87.0000
"Obsidian Entertainment",2222512.5000,81.2500
"Obsidian Entertainment EidosMontral",514170.0000,83.0000
"Octofox Games",42750.0000,71.0000
Offworld,5184750.0000,79.0000
"Old B1ood",591720.0000,82.0000
"Omeda Studios",252330.0000,63.0000
"OMOCAT LLC",2316690.0000,95.0000
"OPNeon Games",1319520.0000,94.0000
"Order Of Meta",5040.0000,79.0000
"Original Fire Games iRacing",20850.0000,72.0000
"Overhype Studios",253500.0000,92.0000
"OVERKILL  a Starbreeze Studio",13281300.0000,91.0000
"Owlcat Games",878940.0000,92.0000
"Panik Arcade",621000.0000,91.0000
"Paradox Development Studio",4047667.5000,82.2500
"Paradox Tinto",654030.0000,45.0000
"Parallel 45 Games",133230.0000,78.0000
"Passtech Games",459300.0000,76.0000
"Pawsmonaut Games",19950.0000,95.0000
"Pearl Abyss",1844010.0000,65.0000
"Pebbledust Games",10650.0000,90.0000
"People Can Fly",1376880.0000,79.0000
"Perfect Random",217470.0000,80.0000
Petroglyph,1046730.0000,100.0000
PiBoSo,969750.0000,95.0000
"Pine Creek Games",67830.0000,94.0000
"Pine Studio",293115.0000,92.0000
"Piranha Games Inc",366060.0000,89.0000
"Pixel Sprout Studios",636180.0000,66.0000
"PlatinumGames Inc  Team NINJA  KOEI TECMO GAMES CO LTD",218880.0000,81.0000
"Platypus Entertainment",444690.0000,79.0000
"Playground Games",7362150.0000,89.0000
Pocketpair,10529430.0000,95.0000
"Polymorph Games",666600.0000,90.0000
poncle,7404180.0000,95.0000
PopCap,1232010.0000,85.0000
"PopCap Games Inc",4141830.0000,97.0000
"PopCap Games The Lost Pixels",167580.0000,77.0000
"Poti Poti Studio",206820.0000,96.0000
"Pounce Light",640350.0000,96.0000
"President Studio",828300.0000,98.0000
ProjectMoon,1431990.0000,95.0000
"Prophecy Games",371910.0000,86.0000
"Proxy Studios",235350.0000,78.0000
"PUBG Corporation",52726470.0000,74.0000
Pugstorm,1421610.0000,91.0000
"Purple Lamp",30645.0000,93.5000
"QLOC Dimps Corporation",1255140.0000,90.0000
"QLOC FromSoftware Inc",2838390.0000,92.0000
"Quantic Dream",5989860.0000,97.0000
Questline,807000.0000,83.0000
"Rainbow Studios",108420.0000,89.0000
"Ramjet Studios",254580.0000,86.0000
"Rare Ltd",9505830.0000,79.0000
"Raven Software Beenox",375990.0000,75.0000
RavenJm,14850.0000,85.0000
Rebellion,305700.0000,79.3333
"Rebuilt Games",1350600.0000,84.0000
"Rec Room",3300.0000,82.0000
"Recreate Games",1625850.0000,85.0000
"Red Barrels",2375880.0000,92.0000
"Red Dot Games",1014600.0000,93.0000
"Red Hook Studios",2392155.0000,80.5000
"Redbeet Interactive",9405360.0000,91.0000
"Refic Games",104430.0000,90.0000
"Reissad Studio",1167510.0000,80.0000
"Reiza Studios",329250.0000,92.0000
"Relic Entertainment",495465.0000,78.5000
ReLogic,36032190.0000,96.0000
"ReLU Games Inc",204030.0000,82.0000
"Render Cube",1227900.0000,87.0000
RENGAME,37410.0000,70.0000
"Resolution Games",28020.0000,83.0000
Respawn,1117275.0000,71.5000
"Respawn Entertainment",5860410.0000,91.0000
"Robot Entertainment",217215.0000,72.0000
"RobTop Games",15458070.0000,93.0000
RocketWerkz,1487940.0000,77.0000
"Rockstar Games",23575800.0000,95.0000
"Rockstar Games Double Eleven",493620.0000,93.0000
"Rockstar North",4562490.0000,89.0000
"Rockstar North Rockstar Toronto",5075130.0000,87.0000
"Rocksteady Studios",3169500.0000,95.0000
roseengine,844020.0000,94.0000
"Round 3 Studios",11460.0000,71.0000
RubberBandGames,909270.0000,97.0000
"Saber Interactive",1250610.0000,77.2000
"Saber Interactive Inc",674850.0000,77.0000
"Sad Panda Studios",16860.0000,84.0000
"Sand Sailor Studio",287610.0000,76.0000
"Sandbox Interactive GmbH",56550.0000,72.0000
"SandCastles Studio",121950.0000,67.0000
"Sandfall Interactive",5060190.0000,92.0000
"Santa Monica Studio Jetpack Interactive",2280060.0000,93.5000
"Sassy Chap Games",175590.0000,88.0000
SBN3,230370.0000,92.0000
"Scienart Games",234960.0000,94.0000
"SCS Software",13649400.0000,94.5000
"Secret Door",47130.0000,87.0000
"Secret Exit Ltd",16260.0000,90.0000
Sedleo,12510.0000,51.0000
"Seed Sparkle Lab",171120.0000,85.0000
semiwork,8808090.0000,95.0000
"SHIFT UP Corporation",1634550.0000,91.0000
"Shiro Games",1265190.0000,67.5000
"Shockfront Studios",210720.0000,94.0000
"Siege Camp",1321830.0000,64.0000
"Siege Wizard Interactive",6600.0000,95.0000
"Skunkape Games",56805.0000,95.5000
"Slavic Magic",2127960.0000,77.0000
"Sleepy Castle Studio WingIt Creative",32700.0000,95.0000
"Slipgate Ironworks",274320.0000,84.0000
"Slitherine Ltd",143580.0000,88.0000
Sloclap,1031460.0000,67.0000
"SMG Studio",28650.0000,94.0000
"Smilegate RPG",1957770.0000,0.0000
"Soleil Ltd",1270680.0000,75.0000
"Sonic Team",294870.0000,89.0000
"Spicy Horse Games",754080.0000,88.0000
Spiders,20880.0000,76.0000
"Spike Chunsoft Co Ltd",575212.5000,78.0000
"Spike Chunsoft Co Ltd Abstraction Games",905745.0000,94.5000
"Spilt Milk Studios Ltd",38640.0000,82.0000
"Sports Interactive",531870.0000,50.0000
Squad,3252060.0000,97.0000
"Squanch Games Inc",313110.0000,78.5000
"Square Enix",315788.8235,78.5588
"Square Enix ACQUIRE Corp",385530.0000,87.0000
"Square Enix ARTDINK",82400.0000,91.0000
"Square Enix Cattle Call Inc",6150.0000,97.0000
"Square Enix Claytechworks",49410.0000,58.0000
"Square Enix D4Enterprise CoLtd",61290.0000,56.0000
"Square Enix DOKIDOKI GROOVE WORKS",69690.0000,84.0000
"Square Enix DotEmu SAS",78870.0000,83.0000
"Square Enix Gemdrops Inc",91860.0000,96.0000
"Square Enix hand",25860.0000,92.0000
"Square Enix HEXADRIVE Inc",49230.0000,87.0000
"Square Enix historia Inc",21060.0000,70.0000
"Square Enix KOEI TECMO GAMES CO LTD",150705.0000,87.5000
"Square Enix PlatinumGames Inc",3335790.0000,88.0000
"Square Enix TOSE CO LTD",191550.0000,88.0000
"Square Enix Toylogic Inc",619620.0000,88.0000
"Square Enix xeen Inc",110190.0000,91.0000
"Stage Games Inc",46890.0000,71.0000
"Stairway Games",609390.0000,89.0000
"Standing Stone Games",5130.0000,85.0000
"Starbreeze Studios",1418370.0000,57.0000
"Stardock Entertainment",60870.0000,78.0000
Statespace,7830.0000,80.0000
"Steel Balalaika",745530.0000,55.0000
"Steel City Interactive",550710.0000,46.0000
"Steel Crate Games",417750.0000,97.0000
